設定	ക്രമീകരണങ്ങൾ
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	ഈ വെബ്സൈറ്റ് ഉപയോഗിക്കുന്നതിന്, നിങ്ങൾ കുക്കികളും ജാവാസ്ക്രിപ്റ്റും പ്രവർത്തനക്ഷമമാക്കണം.
利用規約	ഉപയോഗ നിബന്ധനകൾ
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	അനധികൃത ഉപയോഗം തടയുന്നതിനും ഞങ്ങളുടെ സേവനങ്ങളുടെ സുരക്ഷിതമായ പ്രവർത്തനം ഉറപ്പാക്കുന്നതിനും, ഐപി വിലാസങ്ങൾ, ബ്രൗസിംഗ് ചരിത്രം, ആക്റ്റിവിറ്റി ലോഗുകൾ തുടങ്ങിയ വിവരങ്ങൾ ഈ വെബ്സൈറ്റ് കുക്കികളിലും ഡാറ്റാബേസുകളിലും സംഭരിക്കപ്പെട്ടേക്കാം. ഈ വിവരങ്ങൾ വെബ്സൈറ്റിന്റെ പ്രവർത്തനത്തിനും നിയമപരമായ ആവശ്യങ്ങൾക്കുമായി മാത്രം ഉപയോഗിക്കുന്നതാണ്, മൂന്നാം കക്ഷികൾക്ക് ഇത് വെളിപ്പെടുത്തുന്നതല്ല.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	ഈ സേവനം ഉപയോഗിക്കുന്നതിന്, ഈ പ്രോസസ്സിംഗ് പ്രവർത്തനങ്ങൾക്ക് നിങ്ങൾ സമ്മതം നൽകേണ്ടതാണ്.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	നിങ്ങൾ സമ്മതം നൽകിയിട്ടുണ്ടോ ഇല്ലയോ എന്നത് പരിഗണിക്കാതെ തന്നെ, നിങ്ങൾക്ക് സ്വകാര്യതാ നയത്തിലെ ഉള്ളടക്കം കാണാവുന്നതാണ്.
同意する	ഞാൻ സമ്മതിക്കുന്നു
同意しない	ഞാൻ വിയോജിക്കുന്നു
確認	സ്ഥിരീകരണം
プライバシーポリシー	സ്വകാര്യതാ നയം
通常とは異なる方法でのアクセスや操作が検出されました	അസാധാരണമായ പ്രവേശനമോ പ്രവർത്തനമോ കണ്ടെത്തിയിട്ടുണ്ട്
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	സുരക്ഷയ്ക്കും ഉള്ളടക്ക സംരക്ഷണത്തിനും വേണ്ടി ചില സവിശേഷതകൾ നിയന്ത്രിച്ചിരിക്കുന്നു.
デバッグモード、コンソールの起動は禁止されています	ഡീബഗ് മോഡും കൺസോൾ ആക്‌സസും പ്രവർത്തനരഹിതമാക്കിയിരിക്കുന്നു.
以下の情報がサーバーに送信されました	താഴെ പറയുന്ന വിവരങ്ങൾ സെർവറിലേക്ക് അയച്ചിരിക്കുന്നു
あなたのIPアドレス	നിങ്ങളുടെ ഐപി വിലാസം
あなたの端末とブラウザ	നിങ്ങളുടെ ഉപകരണവും ബ്രൗസറും
あなたの押下したキー	നിങ്ങൾ അമർത്തിയ കീ
リダイレクトをします	നിങ്ങളെ മറ്റൊരു പേജിലേക്ക് മാറ്റുന്നതാണ്
コンテンツ保護のため一部の機能を制限しています	ഉള്ളടക്കം സംരക്ഷിക്കുന്നതിനായി ചില സവിശേഷതകൾ നിയന്ത്രിച്ചിരിക്കുന്നു.
右クリックは禁止されています	വലത്-ക്ലിക്ക് ചെയ്യുന്നത് അനുവദനീയമല്ല
あなたが押下したキー	നിങ്ങൾ അമർത്തിയ കീ
印刷、PDFへの保存は禁止されています	പ്രിൻ്റ് ചെയ്യുന്നതും പിഡിഎഫ് ആയി സേവ് ചെയ്യുന്നതും നിരോധിച്ചിരിക്കുന്നു.
スクリーンショットは禁止されています	സ്ക്രീൻഷോട്ടുകൾ നിരോധിച്ചിരിക്കുന്നു
スクリーンショット、デバッグモード等の起動は禁止されています	സ്ക്രീൻഷോട്ടുകൾ എടുക്കുന്നതും ഡീബഗ് മോഡ് പ്രവർത്തനക്ഷമമാക്കുന്നതും നിരോധിച്ചിരിക്കുന്നു.
ページの保存は禁止されています	ഈ പേജ് സേവ് ചെയ്യുന്നത് നിരോധിച്ചിരിക്കുന്നു
コピー、カットは禁止されています	പകർത്തുന്നതും മുറിക്കുന്നതും നിരോധിച്ചിരിക്കുന്നു.
あなたが起こしたイベント	നിങ്ങൾ സംഘടിപ്പിച്ച പരിപാടികൾ
テキストの選択は禁止されています	ടെക്സ്റ്റ് തിരഞ്ഞെടുക്കാൻ അനുവാദമില്ല
HTMLソース表示は禁止されています	HTML സോഴ്സ് കോഡ് പ്രദർശിപ്പിക്കുന്നത് നിരോധിച്ചിരിക്കുന്നു
不正アクセスは禁止されています	അനധികൃത പ്രവേശനം നിരോധിച്ചിരിക്കുന്നു
アフリカーンス語	അഫ്രിക്കാൻസ്
アラゴン語	അരഗോനീസ്
アラビア語	അറബിക്
アッサム語	അসমীয়া
アゼルバイジャン語	അസർബൈജാനി
バシュキール語	ബാഷ്കിർ
ベラルーシ語	ബെലാറൂസിയൻ
ベンガル語	ബംഗാളി
ブルガリア語	ബൾഗേറിയൻ
ボスニア語	ബോസ്നിയൻ
カタロニア語	കാറ്റലാൻ
チェコ語	ചെക്ക്
ウェールズ語	വെൽഷ്
デンマーク語	ഡാനിഷ്
ドイツ語	ജർമ്മൻ
現代ギリシア語	ആധുനിക ഗ്രീക്ക്
英語	ഇംഗ്ലീഷ്
イギリス英語	ബ്രിട്ടീഷ് ഇംഗ്ലീഷ്
アメリカ英語	അമേരിക്കൻ ഇംഗ്ലീഷ്
エスペラント語	എസ്പെറാന്റോ
スペイン語	സ്പാനിഷ്
エストニア語	എസ്റ്റോണിയൻ
バスク語	ബാസ്ക്
ペルシャ語	പേർഷ്യൻ
フィンランド語	ഫിന്നിഷ്
フランス語	ഫ്രഞ്ച്
アイルランド語	ഐറിഷ്
ガリシア語	ഗാലീഷ്യൻ
グァラニ語	ഗ്വാറാണി
グジャラート語	ഗുജറാത്തി
ハウサ語	ഹൗസ
ヘブライ語	ഹീബ്രു
ヒンディ語	ഹിന്ദി
クロアチア語	ക്രൊയേഷ്യൻ
ハイチ・クレオール語	ഹെയ്തിയൻ ക്രിയോൾ
ハンガリー語	ഹംഗേറിയൻ
インドネシア語	ഇന്തോനേഷ്യൻ
イボ語	ഇബോ ഭാഷ
アイスランド語	ഐസ്‌ലാൻഡിക്
イタリア語	ഇറ്റാലിയൻ
日本語	ജാപ്പനീസ്
ジャワ語	ജവാനീസ്
カザフ語	കസാഖ്
朝鮮語	കൊറിയൻ
クルド語	കുർദിഷ്
キルギス語	കിർഗിസ്
ラテン語	ലത്തീൻ
ルクセンブルク語	ലക്സംബർഗീസ്
リンガラ語	ലിംഗാല
リトアニア語	ലിത്വാനിയൻ
ラトビア語	ലാത്വിയൻ
マダガスカル語	മലഗാസി
マオリ語	മാവോറി
マケドニア語	മസെഡോണിയൻ
マラヤーラム語	മലയാളം
モンゴル語	മംഗോളിയൻ
マラーティー語	മറാത്തി
マレー語	മലായ്
マルタ語	മാൾട്ടീസ്
ビルマ語	ബർമ്മീസ്
ネパール語	നേപ്പാളി
ノルウェー語	നോർവീജിയൻ
オランダ語	ഡച്ച്
オック語	ഒക്സിറ്റൻ
オロモ語	അല്ലെങ്കിൽ
パンジャーブ語	പഞ്ചാബി
ポーランド語	പോളിഷ്
パシュトー語	പാസ്തോ
ポルトガリア語	പോർച്ചുഗീസ്
ブラジルポルトガル語	ബ്രസീലിയൻ പോർച്ചുഗീസ്
ヨーロピアンポルトガル語	യൂറോപ്യൻ പോർച്ചുഗീസ്
ケチュア語	ക്വെച്ചുവ
ルーマニア語	റൊമാനിയൻ
ロシア語	റഷ്യൻ
サンスクリット語	സംസ്കൃതം
スロバキア語	സ്ലോവാക്
スロベニア語	സ്ലോവേനിയൻ
セルビア語	സെർബിയൻ
南セソト語	ദക്ഷിണ സെഷോ
スンダ語	സുന്ദാനീസ്
スウェーデン語	സ്വീഡിഷ്
スワヒリ語	സ്വാഹിലി
タミル語	തമിഴ്
テルグ語	തെലുങ്ക്
タジク語	താജിക്
タイ語	തായ്
トルクメン語	തുർക്ക്മെൻ
タガログ語	തഗലോഗ്
トルコ語	തുർക്കിഷ്
タタール語	താത്താർ
ウクライナ語	യുക്രേനിയൻ
ウルドゥー語	ഉർദു
ウズベク語	ഉസ്ബെക്
ベトナム語	വിയറ്റ്നാമീസ്
コサ語	കോസ
イディッシュ語	യിഡ്ഡിഷ്
簡体中国語	ലളിത ചൈനീസ്
繁体中国語	പരമ്പരാഗത ചൈനീസ്
ズールー語	സുലു
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	നിങ്ങൾ ഇപ്പോൾ ഉപയോഗിക്കുന്ന ബ്രൗസർ ഒരു പഴയ പതിപ്പാണ്, അതിനാൽ ഇത് ഇനി പിന്തുണയ്ക്കുന്നില്ല. സുരക്ഷിതവും സുഗമവുമായ ഒരു ബ്രൗസിംഗ് അനുഭവം ഉറപ്പാക്കുന്നതിന്, ദയവായി നിങ്ങളുടെ ബ്രൗസറിന്റെ ഏറ്റവും പുതിയ പതിപ്പിലേക്ക് അപ്ഡേറ്റ് ചെയ്യുക.
不正なリクエストです	അസാധുവായ അഭ്യർത്ഥന
画像が見つかりません	ചിത്രം കണ്ടെത്താനായില്ല
