設定	ਸੈਟਿੰਗਾਂ
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その時ハッシュ化が必要です、その強度を設定します	ਇੱਕ ਅਸਥਾਈ ਟੋਕਨ ਨੂੰ ਚਿੱਤਰ URL ਜਾਣਕਾਰੀ ਨੂੰ ਇਨਕ੍ਰਿਪਟ ਕਰਨ ਲਈ ਪਾਸਵਰਡ ਵਜੋਂ ਵਰਤਿਆ ਜਾਂਦਾ ਹੈ; ਇਸ ਲਈ ਹੈਸ਼ਿੰਗ ਦੀ ਲੋੜ ਹੁੰਦੀ ਹੈ, ਅਤੇ ਇਹ ਸੈਟਿੰਗ ਉਸ ਹੈਸ਼ਿੰਗ ਦੀ ਮਜ਼ਬੂਤੀ ਨਿਰਧਾਰਤ ਕਰਦੀ ਹੈ।
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなります	ਹਾਲਾਂਕਿ ਡ੍ਰੌਪ-ਡਾਊਨ ਮੀਨੂ ਵਿੱਚ ਦਿਖਾਏ ਗਏ ਵਿਕਲਪਾਂ ਵਿੱਚੋਂ ਹੇਠਾਂ ਸਕ੍ਰੋਲ ਕਰਨ ਨਾਲ ਤੀਬਰਤਾ ਵਧਦੀ ਹੈ, ਪਰ ਇਸ ਨਾਲ ਸਰਵਰ 'ਤੇ ਵਧੇਰੇ ਲੋਡ ਪੈਂਦਾ ਹੈ।
基本設定	ਮੂਲ ਸੈਟਿੰਗਾਂ
高度な設定	ਉੱਨਤ ਸੈਟਿੰਗਾਂ
初期設定に戻す	ਡਿਫੌਲਟ ਸੈਟਿੰਗਾਂ ਬਹਾਲ ਕਰੋ
デザイン・音の設定	ਡਿਜ਼ਾਈਨ ਅਤੇ ਆਵਾਜ਼ ਸੈਟਿੰਗਾਂ
イベントの設定	ਇਵੈਂਟ ਸੈਟਿੰਗਾਂ
初回訪問時のお知らせの設定	ਪਹਿਲੀ ਵਾਰ ਆਉਣ ਵਾਲੇ ਵਿਜ਼ਿਟਾਂ ਲਈ ਸੂਚਨਾਵਾਂ ਸੈੱਟ ਕਰਨਾ
メッセージの設定	ਸੁਨੇਹਾ ਸੈਟਿੰਗਾਂ
右クリックやソースコード表示時に転送する URL を設定します	ਸੱਜੇ-ਕਲਿੱਕ ਕਰਨ ਜਾਂ ਸਰੋਤ ਕੋਡ ਦੇਖਣ 'ਤੇ ਖੋਲ੍ਹਣ ਲਈ URL ਸੈੱਟ ਕਰੋ।
警告メッセージにはHTMLは使用できません	ਚੇਤਾਵਨੀ ਸੁਨੇਹਿਆਂ ਵਿੱਚ HTML ਦੀ ਵਰਤੋਂ ਨਹੀਂ ਕੀਤੀ ਜਾ ਸਕਦੀ।
この画面で設定すると、高度な設定タブにある言語設定が無視されます	ਜੇ ਤੁਸੀਂ ਇਸ ਸਕ੍ਰੀਨ 'ਤੇ ਇਹ ਸੰਰਚਨਾ ਕਰਦੇ ਹੋ, ਤਾਂ Advanced ਟੈਬ ਵਿੱਚ ਭਾਸ਼ਾ ਸੈਟਿੰਗਾਂ ਨੂੰ ਨਜ਼ਰਅੰਦਾਜ਼ ਕਰ ਦਿੱਤਾ ਜਾਵੇਗਾ।
以下の文字列が使用できます	ਹੇਠ ਲਿਖੀਆਂ ਸਟਰਿੰਗਾਂ ਵਰਤੀਆਂ ਜਾ ਸਕਦੀਆਂ ਹਨ।
改行	ਲਾਈਨ ਤੋੜ
押下されたキー	ਕੁੰਜੀ ਦਬਾਈ ਗਈ
Neo HTML Protector 設定	ਨਿਓ HTML ਪ੍ਰੋਟੈਕਟਰ ਸੈਟਿੰਗਜ਼
お知らせ	ਨੋਟਿਸ
メッセージ	ਸੁਨੇਹਾ
デザイン・音	ਡਿਜ਼ਾਈਨ ਅਤੇ ਆਵਾਜ਼
初期化	ਸ਼ੁਰੂਆਤੀਕਰਨ
このプラグインについて	ਇਸ ਪਲੱਗਇਨ ਬਾਰੇ
設定が初期化されました	ਸੈਟਿੰਗਾਂ ਰੀਸੈਟ ਕਰ ਦਿੱਤੀਆਂ ਗਈਆਂ ਹਨ।
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	ਪਲੱਗਇਨ ਨੂੰ ਸ਼ੁਰੂ ਕਰੋ। ਕਿਰਪਾ ਕਰਕੇ ਧਿਆਨ ਦਿਓ ਕਿ ਇਸ ਪੜਾਅ 'ਤੇ IP ਲੌਗ ਰੀਡਰ ਦਾ ਡੇਟਾ ਮਿਟਾਇਆ ਨਹੀਂ ਜਾਵੇਗਾ।
Neo HTML Protectorについて	ਨਿਓ HTML ਪ੍ਰੋਟੈਕਟਰ ਬਾਰੇ
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	ਇਹ ਪਲੱਗਇਨ ਤੁਹਾਡੀ WordPress ਸਾਈਟ ਵੱਲੋਂ ਤਿਆਰ ਕੀਤੇ ਗਏ HTML, ਤਸਵੀਰਾਂ ਅਤੇ ਹੋਰ ਸਮੱਗਰੀ ਦੀ ਸੁਰੱਖਿਆ ਕਰਨ ਲਈ ਬਣਾਇਆ ਗਿਆ ਹੈ, ਤਾਂ ਜੋ ਇਹ ਅਣਅਧਿਕਾਰਤ ਵਰਤੋਂ ਤੋਂ ਬਚਾਈ ਜਾ ਸਕੇ।
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	ਸਮੱਗਰੀ ਨੂੰ ਪੂਰੀ ਤਰ੍ਹਾਂ ਸੁਰੱਖਿਅਤ ਕਰਨਾ ਅਸੰਭਵ ਹੈ। ਹਾਲਾਂਕਿ, ਜਿੱਥੇ ਵੀ ਸੰਭਵ ਹੋਵੇ ਚੇਤਾਵਨੀਆਂ ਜਾਰੀ ਕਰਕੇ ਅਤੇ ਕਿਸੇ ਵੀ ਘਟਨਾ ਲਈ ਤਿਆਰੀਆਂ ਕਰਕੇ, ਅਸੀਂ ਸਰਕਾਰ ਵੱਲੋਂ ਨਿਰਧਾਰਤ ਪ੍ਰਕਿਰਿਆਵਾਂ ਅਨੁਸਾਰ ਮਾਮਲੇ ਨੂੰ ਹੱਲ ਕਰਨ ਦੇ ਯੋਗ ਹੋ ਸਕਦੇ ਹਾਂ।
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	ਬੇਸ਼ੱਕ, ਤੁਹਾਨੂੰ ਇਹ ਯਕੀਨੀ ਬਣਾਉਣਾ ਹੋਵੇਗਾ ਕਿ ਤੁਹਾਡੀਆਂ ਸੇਵਾ ਦੀਆਂ ਸ਼ਰਤਾਂ ਅਤੇ ਸਾਈਟ ਦੀਆਂ ਨੀਤੀਆਂ ਵਿਆਪਕ ਹੋਣ। ਹਾਲਾਂਕਿ ਇਹ ਪਲੱਗਇਨ ਸੇਵਾ ਦੀਆਂ ਸ਼ਰਤਾਂ ਤਿਆਰ ਕਰਨ ਲਈ ਕੋਈ ਸੰਦ ਨਹੀਂ ਹੈ, ਇਹ ਕੁਝ ਮਾਰਗਦਰਸ਼ਨ ਦੇ ਸਕਦਾ ਹੈ।
開発者: 夜桜　なの	ਵਿਕਾਸਕ: ਨੈਨੋ ਯੋਜ਼ਾਕੁਰਾ
バージョン	ਸੰਸਕਰਣ
ビルド	ਬਣਾਓ
サポートページ	ਸਹਾਇਤਾ ਪੰਨਾ
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	ਪੇਸ਼ਕਸ਼: ਮਿਸ ਉਰਾ ਮਨੀਰਾ
支援のお願い	ਸਹਾਇਤਾ ਲਈ ਬੇਨਤੀ
Neo HTML Protectorをご利用いただき、ありがとうございます！	Neo HTML Protector ਵਰਤਣ ਲਈ ਤੁਹਾਡਾ ਧੰਨਵਾਦ!
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	ਇਸ ਪਲੱਗਇਨ ਦੇ ਵਿਕਾਸ ਅਤੇ ਰੱਖ-ਰਖਾਅ ਲਈ ਬਹੁਤ ਸਮਾਂ ਅਤੇ ਮਿਹਨਤ ਲੱਗੀ ਹੈ, ਅਤੇ ਇਸਨੂੰ ਹੋਰ ਸੁਧਾਰਨ ਅਤੇ ਅਪਡੇਟ ਕਰਨ ਲਈ ਫੰਡ ਇਕੱਠਾ ਕਰਨ ਵਾਸਤੇ, ਅਸੀਂ ਧੰਨਵਾਦੀ ਹੋਵਾਂਗੇ ਜੇਕਰ ਕੋਈ ਸਾਡੀ ਮਦਦ ਕਰਨ ਦੇ ਯੋਗ ਹੋਵੇ ਅਤੇ ਦਾਨ ਕਰਨ ਬਾਰੇ ਵਿਚਾਰ ਕਰੇ।
寄付について	ਦਾਨ ਬਾਰੇ
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	ਦਾਨ ਪੂਰੀ ਤਰ੍ਹਾਂ ਸਵੈਛਿਕ ਹਨ ਅਤੇ ਲਾਜ਼ਮੀ ਨਹੀਂ। ਇਹ ਪਲੱਗਇਨ ਹਰ ਕਿਸੇ ਲਈ ਬਿਲਕੁਲ ਮੁਫ਼ਤ ਉਪਲਬਧ ਹੈ। ਹਾਲਾਂਕਿ, ਵਿਕਾਸ ਜਾਰੀ ਰੱਖਣ ਵਿੱਚ ਸਾਡੀ ਮਦਦ ਲਈ ਤੁਹਾਡਾ ਸਹਿਯੋਗ ਬਹੁਤ ਸਰਾਹਿਆ ਜਾਂਦਾ ਹੈ, ਅਤੇ ਜੇ ਤੁਸੀਂ ਥੋੜ੍ਹੀ ਜਿਹੀ ਰਕਮ ਵੀ ਦਾਨ ਕਰ ਸਕੋ ਤਾਂ ਸਾਨੂੰ ਬਹੁਤ ਖੁਸ਼ੀ ਹੋਵੇਗੀ।
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	ਤੁਸੀਂ ਹੇਠਾਂ ਦਿੱਤੇ ਲਿੰਕ ਰਾਹੀਂ ਦਾਨ ਕਰ ਸਕਦੇ ਹੋ। ਜੇ ਤੁਸੀਂ ਜਪਾਨ ਵਿੱਚ ਹੋ, ਤਾਂ ਤੁਸੀਂ ਬਿਨਾਂ ਕਿਸੇ ਖਰਚੇ ਦੇ ਦਾਨ ਕਰ ਸਕਦੇ ਹੋ, ਅਤੇ ਤੁਸੀਂ ਆਸਾਨੀ ਨਾਲ ਐਮੇਜ਼ਾਨ ਗਿਫਟ ਵਾਊਚਰਾਂ ਰਾਹੀਂ ਵੀ ਦਾਨ ਕਰ ਸਕਦੇ ਹੋ।
寄付先	ਦਾਨ-ਸੰਸਥਾਵਾਂ
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	ਤੁਹਾਡੇ ਸਹਿਯੋਗ ਨਾਲ, ਅਸੀਂ ਤੁਹਾਨੂੰ ਸ਼ਾਨਦਾਰ ਅਪਡੇਟਸ ਲਿਆਉਣਾ ਜਾਰੀ ਰੱਖਣ ਲਈ ਆਪਣੀ ਪੂਰੀ ਕੋਸ਼ਿਸ਼ ਕਰਾਂਗੇ!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	ਅਸੀਂ ਤੁਹਾਡੇ ਸਹਿਯੋਗ ਲਈ ਧੰਨਵਾਦੀ ਹਾਂ ਅਤੇ ਭਵਿੱਖ ਵਿੱਚ ਵੀ ਤੁਹਾਡੇ ਲਗਾਤਾਰ ਸਹਿਯੋਗ ਦੀ ਉਡੀਕ ਕਰਦੇ ਹਾਂ।
ライセンス	ਲਾਇਸੈਂਸ
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	ਇਹ ਪਲੱਗਇਨ ਖੁੱਲ੍ਹੇ ਸਰੋਤ ਸੌਫਟਵੇਅਰ ਵਜੋਂ ਵਿਕਸਤ ਕੀਤਾ ਗਿਆ ਹੈ ਅਤੇ ਇਹ GPLv2.0 ਜਾਂ ਇਸ ਤੋਂ ਬਾਅਦ ਦੇ ਅਧੀਨ ਲਾਇਸੰਸਸ਼ੁਦਾ ਹੈ।
このプラグインに含まれるいくつかの技術は特許保護の対象です。	ਇਸ ਪਲੱਗਇਨ ਵਿੱਚ ਸ਼ਾਮਲ ਕੁਝ ਤਕਨਾਲੋਜੀਆਂ ਪੇਟੈਂਟਾਂ ਦੁਆਰਾ ਸੁਰੱਖਿਅਤ ਹਨ।
特許技術の使用は、このプラグイン内での使用に限って認められます。	ਪੇਟੈਂਟ ਕੀਤੀ ਤਕਨਾਲੋਜੀ ਦੀ ਵਰਤੋਂ ਸਿਰਫ ਇਸ ਪਲੱਗ-ਇਨ ਵਿੱਚ ਹੀ ਮਨਜ਼ੂਰ ਹੈ।
その他の使用については、作者に連絡して商用ライセンスを取得してください。	ਕਿਸੇ ਹੋਰ ਵਰਤੋਂ ਲਈ, ਵਪਾਰਕ ਲਾਇਸੈਂਸ ਪ੍ਰਾਪਤ ਕਰਨ ਲਈ ਕਿਰਪਾ ਕਰਕੇ ਲੇਖਕ ਨਾਲ ਸੰਪਰਕ ਕਰੋ।
本プラグインには以下のライブラリを同梱しています	ਇਸ ਪਲੱਗਇਨ ਵਿੱਚ ਹੇਠ ਲਿਖੀਆਂ ਲਾਇਬ੍ਰੇਰੀਆਂ ਸ਼ਾਮਲ ਹਨ
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	ਇਸ ਪਲੱਗਇਨ ਵਿੱਚ ਹੇਠਾਂ ਬਣਾਏ ਗਏ ASCII ਆਰਟ ਫੌਂਟਾਂ ਦੇ ਨਾਲ-ਨਾਲ ਫੌਂਟ ਫਾਈਲਾਂ ਵੀ ਸ਼ਾਮਲ ਹਨ।
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	ਇਸ ਪਲੱਗਇਨ ਵਿੱਚ EJ Co., Ltd. ਵੱਲੋਂ ਵਿਕਸਤ ਅਤੇ ਇਸ ਪਲੱਗਇਨ ਦੇ ਨਿਰਮਾਤਾ ਵੱਲੋਂ ਰਚੀ ਗਈ ਅਣ-ਆਧਿਕਾਰਿਕ Super Famicom ਗੇਮ 'SM Trainer Hitomi 3' ਦੀ ਸੰਗੀਤ ਸ਼ਾਮਿਲ ਹੈ, ਅਤੇ ਇਹ ਅਧਿਕਾਰਿਕ ਤੌਰ 'ਤੇ ਲਾਇਸੈਂਸਸ਼ੁਦਾ ਹੈ।
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	ਇਸ ਪਲੱਗਇਨ ਵਿੱਚ 'Keppy's YAMAHA C7' ਦੀ ਵਰਤੋਂ ਕਰਕੇ ਬਣਾਏ ਗਏ ਟ੍ਰੈਕ ਸ਼ਾਮਲ ਹਨ, ਜੋ Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	ਮੈਂ ਇਸ ਪਲੱਗਇਨ ਦੇ ਵਿਕਾਸ ਵਿੱਚ ਰੈਸਬੇਰੀ ਪਾਈ 5, ChatGPT ਅਤੇ DeepL ਦੀ ਵੀ ਵਰਤੋਂ ਕੀਤੀ ਹੈ।
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	ਇੱਕ ਕੈਸ਼ਿੰਗ ਪਲੱਗਇਨ ਪਾਇਆ ਗਿਆ ਹੈ। ਜੇਕਰ ਕੋਈ ਕੈਸ਼ਿੰਗ ਪਲੱਗਇਨ ਚਾਲੂ ਹੈ ਤਾਂ ਇਹ ਪਲੱਗਇਨ ਠੀਕ ਤਰ੍ਹਾਂ ਕੰਮ ਨਹੀਂ ਕਰੇਗਾ।
無効なIPアドレス	ਗਲਤ IP ਪਤਾ
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	ਇਸ ਵੈੱਬਸਾਈਟ ਦੀ ਵਰਤੋਂ ਕਰਨ ਲਈ, ਤੁਹਾਨੂੰ ਕੂਕੀਜ਼ ਅਤੇ ਜਾਵਾਸਕ੍ਰਿਪਟ ਚਾਲੂ ਕਰਨੀਆਂ ਪੈਣਗੀਆਂ।
利用規約	ਵਰਤੋਂ ਦੀਆਂ ਸ਼ਰਤਾਂ
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	ਅਣਅਧਿਕਾਰਤ ਵਰਤੋਂ ਰੋਕਣ ਅਤੇ ਸਾਡੀਆਂ ਸੇਵਾਵਾਂ ਦੀ ਸੁਰੱਖਿਅਤ ਚਾਲ ਨੂੰ ਯਕੀਨੀ ਬਣਾਉਣ ਲਈ, ਇਹ ਵੈਬਸਾਈਟ IP ਪਤੇ, ਬ੍ਰਾਉਜ਼ਿੰਗ ਇਤਿਹਾਸ ਅਤੇ ਗਤੀਵਿਧੀ ਲੌਗਜ਼ ਵਰਗੀ ਜਾਣਕਾਰੀ ਕੂਕੀਜ਼ ਅਤੇ ਡੇਟਾਬੇਸ ਵਿੱਚ ਸਟੋਰ ਕਰ ਸਕਦੀ ਹੈ। ਇਹ ਜਾਣਕਾਰੀ ਸਿਰਫ਼ ਵੈਬਸਾਈਟ ਦੇ ਸੰਚਾਲਨ ਅਤੇ ਕਾਨੂੰਨੀ ਮਕਸਦਾਂ ਲਈ ਵਰਤੀ ਜਾਂਦੀ ਹੈ, ਅਤੇ ਤੀਜੀਆਂ ਪੱਖਾਂ ਨੂੰ ਜਾਰੀ ਨਹੀਂ ਕੀਤੀ ਜਾਵੇਗੀ।
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	ਇਸ ਸੇਵਾ ਦੀ ਵਰਤੋਂ ਕਰਨ ਲਈ, ਤੁਹਾਨੂੰ ਇਹਨਾਂ ਪ੍ਰੋਸੈਸਿੰਗ ਗਤੀਵਿਧੀਆਂ ਲਈ ਸਹਿਮਤੀ ਦੇਣੀ ਲਾਜ਼ਮੀ ਹੈ।
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	ਤੁਸੀਂ ਪ੍ਰਾਈਵੇਸੀ ਨੀਤੀ ਦੀ ਸਮੱਗਰੀ ਦੇਖ ਸਕਦੇ ਹੋ, ਭਾਵੇਂ ਤੁਸੀਂ ਆਪਣੀ ਸਹਿਮਤੀ ਦਿੱਤੀ ਹੋਵੇ ਜਾਂ ਨਾ।
同意する	ਮੈਂ ਸਹਿਮਤ ਹਾਂ
同意しない	ਮੈਂ ਅਸਹਿਮਤ ਹਾਂ
確認	ਪੁਸ਼ਟੀ
プライバシーポリシー	ਗੋਪਨੀਯਤਾ ਨੀਤੀ
通常とは異なる方法でのアクセスや操作が検出されました	ਅਸਧਾਰਣ ਪਹੁੰਚ ਜਾਂ ਗਤੀਵਿਧੀ ਦਾ ਪਤਾ ਲੱਗਿਆ ਹੈ।
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	ਕੁਝ ਵਿਸ਼ੇਸ਼ਤਾਵਾਂ ਨੂੰ ਸੁਰੱਖਿਆ ਅਤੇ ਸਮੱਗਰੀ ਦੀ ਸੁਰੱਖਿਆ ਦੇ ਉਦੇਸ਼ਾਂ ਲਈ ਸੀਮਤ ਕੀਤਾ ਗਿਆ ਹੈ।
デバッグモード、コンソールの起動は禁止されています	ਡੀਬੱਗ ਮੋਡ ਅਤੇ ਕੰਸੋਲ ਪਹੁੰਚ ਅਸਮਰੱਥ ਕੀਤੀ ਗਈ ਹੈ।
以下の情報がサーバーに送信されました	ਹੇਠ ਲਿਖੀ ਜਾਣਕਾਰੀ ਸਰਵਰ ਨੂੰ ਭੇਜ ਦਿੱਤੀ ਗਈ ਹੈ।
あなたのIPアドレス	ਤੁਹਾਡਾ IP ਪਤਾ
あなたの端末とブラウザ	ਤੁਹਾਡਾ ਡਿਵਾਈਸ ਅਤੇ ਬ੍ਰਾਊਜ਼ਰ
あなたの押下したキー	ਤੁਸੀਂ ਦਬਾਈ ਚਾਬੀ
リダイレクトをします	ਤੁਹਾਨੂੰ ਰੀਡਾਇਰੈਕਟ ਕੀਤਾ ਜਾਵੇਗਾ
コンテンツ保護のため一部の機能を制限しています	ਸਮੱਗਰੀ ਦੀ ਸੁਰੱਖਿਆ ਲਈ ਕੁਝ ਵਿਸ਼ੇਸ਼ਤਾਵਾਂ ਨੂੰ ਸੀਮਤ ਕੀਤਾ ਗਿਆ ਹੈ।
右クリックは禁止されています	ਸੱਜੇ-ਕਲਿੱਕ ਕਰਨ ਦੀ ਇਜਾਜ਼ਤ ਨਹੀਂ ਹੈ।
あなたが押下したキー	ਤੁਸੀਂ ਦਬਾਈ ਚਾਬੀ
印刷、PDFへの保存は禁止されています	ਪ੍ਰਿੰਟ ਕਰਨਾ ਅਤੇ PDF ਵਜੋਂ ਸੇਵ ਕਰਨਾ ਮਨਾਹੀ ਹੈ।
スクリーンショットは禁止されています	ਸਕ੍ਰੀਨਸ਼ਾਟਾਂ ਦੀ ਮਨਾਹੀ ਹੈ।
スクリーンショット、デバッグモード等の起動は禁止されています	ਸਕ੍ਰੀਨਸ਼ਾਟ ਲੈਣਾ ਅਤੇ ਡੀਬੱਗ ਮੋਡ ਚਾਲੂ ਕਰਨਾ ਮਨਾਹੀ ਹੈ।
ページの保存は禁止されています	ਇਸ ਪੰਨੇ ਨੂੰ ਸੇਵ ਕਰਨਾ ਮਨਾਹੀ ਹੈ।
コピー、カットは禁止されています	ਨਕਲ ਅਤੇ ਕੱਟਣ ਦੀ ਮਨਾਹੀ ਹੈ।
あなたが起こしたイベント	ਤੁਹਾਡੇ ਵੱਲੋਂ ਆਯੋਜਿਤ ਸਮਾਗਮ
テキストの選択は禁止されています	ਟੈਕਸਟ ਚੁਣਨ ਦੀ ਇਜਾਜ਼ਤ ਨਹੀਂ ਹੈ।
HTMLソース表示は禁止されています	HTML ਸਰੋਤ ਕੋਡ ਦਿਖਾਉਣਾ ਮਨਾਹੀ ਹੈ।
不正アクセスは禁止されています	ਅਣਅਧਿਕਾਰਤ ਪਹੁੰਚ ਮਨ੍ਹਾਂ ਹੈ।
アフリカーンス語	ਅਫ਼ਰੀਕਾਂਸ
アラゴン語	ਅਰਾਗੋਨੀ
アラビア語	ਅਰਬੀ
アッサム語	ਅਸਾਮੀ
アゼルバイジャン語	ਅਜ਼ਰਬਾਈਜਾਨੀ
バシュキール語	ਬਸ਼ਕੀਰ
ベラルーシ語	ਬੇਲਾਰੂਸੀ
ベンガル語	ਬੰਗਾਲੀ
ブルガリア語	ਬੁਲਗਾਰੀਅਨ
ボスニア語	ਬੋਸਨੀਆਈ
カタロニア語	ਕੈਟਾਲਾਨ
チェコ語	ਚੈਕ
ウェールズ語	ਵੈਲਸ਼
デンマーク語	ਡੈਨਿਸ਼
ドイツ語	ਜਰਮਨ
現代ギリシア語	ਆਧੁਨਿਕ ਯੂਨਾਨੀ
英語	ਅੰਗਰੇਜ਼ੀ
イギリス英語	ਬ੍ਰਿਟਿਸ਼ ਅੰਗਰੇਜ਼ੀ
アメリカ英語	ਅਮਰੀਕੀ ਅੰਗਰੇਜ਼ੀ
エスペラント語	ਐਸਪੇਰਾਂਤੋ
スペイン語	ਸਪੈਨਿਸ਼
エストニア語	ਐਸਟੋਨੀਆਈ
バスク語	ਬਾਸਕੀ
ペルシャ語	ਫਾਰਸੀ
フィンランド語	ਫਿਨਿਸ਼
フランス語	ਫਰਾਂਸੀਸੀ
アイルランド語	ਆਇਰਿਸ਼
ガリシア語	ਗਾਲੀਸ਼ੀਆਈ
グァラニ語	ਗੁਆਰਾਨੀ
グジャラート語	ਗੁਜਰਾਤੀ
ハウサ語	ਹਾਊਸਾ
ヘブライ語	ਇਬਰਾਨੀ
ヒンディ語	ਹਿੰਦੀ
クロアチア語	ਕ੍ਰੋਏਸ਼ੀਆਈ
ハイチ・クレオール語	ਹੈਤੀਅਨ ਕ੍ਰੀਓਲ
ハンガリー語	ਹੰਗਰੀਅਨ
インドネシア語	ਇੰਡੋਨੇਸ਼ੀਆਈ
イボ語	ਇਬੋ ਭਾਸ਼ਾ
アイスランド語	ਆਈਸਲੈਂਡੀ
イタリア語	ਇਤਾਲਵੀ
日本語	ਜਪਾਨੀ
ジャワ語	ਜਾਵਾਨੀ
カザフ語	ਕਾਜ਼ਖ
朝鮮語	ਕੋਰੀਅਨ
クルド語	ਕੁਰਦਿਸ਼
キルギス語	ਕਿਰਗਿਜ਼
ラテン語	ਲਾਤੀਨੀ
ルクセンブルク語	ਲਕਜ਼ਮਬਰਗੀ
リンガラ語	ਲਿੰਗਾਲਾ
リトアニア語	ਲਿਥੂਆਨੀਅਨ
ラトビア語	ਲਾਤਵੀਅਨ
マダガスカル語	ਮਲਾਗੀ
マオリ語	ਮਾਓਰੀ
マケドニア語	ਮੈਸੇਡੋਨੀਅਨ
マラヤーラム語	ਮਲਾਯਾਲਮ
モンゴル語	ਮੰਗੋਲੀਅਨ
マラーティー語	ਮਰਾਠੀ
マレー語	ਮਲੇਈ
マルタ語	ਮਾਲਟੀਜ਼
ビルマ語	ਬਰਮੀ
ネパール語	ਨੇਪਾਲੀ
ノルウェー語	ਨਾਰਵੇਜੀਅਨ
オランダ語	ਡੱਚ
オック語	ਓਕਸੀਟਾਨੀ
オロモ語	ਜਾਂ
パンジャーブ語	ਪੰਜਾਬੀ
ポーランド語	ਪਾਲਿਸ਼
パシュトー語	پ්සුස්
ポルトガリア語	ਪੁਰਤਗਾਲੀ
ブラジルポルトガル語	ਬ੍ਰਾਜ਼ੀਲੀ ਪੁਰਤਗਾਲੀ
ヨーロピアンポルトガル語	ਯੂਰਪੀ ਪੁਰਤਗਾਲੀ
ケチュア語	ਕੀਚਵਾ
ルーマニア語	ਰੋਮਾਨੀਆਈ
ロシア語	ਰੂਸੀ
サンスクリット語	ਸੰਸਕ੍ਰਿਤ
スロバキア語	ਸਲੋਵਾਕ
スロベニア語	ਸਲੋਵੇਨੀਆਈ
セルビア語	ਸਰਬੀਆਈ
南セソト語	ਦੱਖਣੀ ਸੇਸੋਥੋ
スンダ語	ਸੁੰਡਾਨੀ
スウェーデン語	ਸਵੀਡਿਸ਼
スワヒリ語	ਸਵਾਹਿਲੀ
タミル語	ਤਮਿਲ
テルグ語	ਤੇਲਗੂ
タジク語	ਤਾਜਿਕ
タイ語	ਥਾਈ
トルクメン語	ਤੁਰਕਮੈਨ
タガログ語	ਟੈਗਲਾਗ
トルコ語	ਤੁਰਕੀ
タタール語	ਟਾਟਰ
ウクライナ語	ਯੂਕਰੇਨੀ
ウルドゥー語	ਉਰਦੂ
ウズベク語	ਉਜ਼ਬੇਕ
ベトナム語	ਵੀਅਤਨਾਮੀ
コサ語	ਕੋਸਾ
イディッシュ語	ਯਿਦਿਸ਼
簡体中国語	ਸਰਲ ਚੀਨੀ
繁体中国語	ਪਰੰਪਰਾਗਤ ਚੀਨੀ
ズールー語	ਜ਼ੁਲੂ
